Cell line	TCGA classification	Tissue	Tissue sub-type	IC50	AUC
OCI-AML2	LAML	blood	acute_myeloid_leukaemia	0.0166	0.0681
SKM-1	UNCLASSIFIED	blood	haematopoietic_neoplasm_other	0.0213	0.169
IGR-37	SKCM	skin	melanoma	0.0231	0.147
IPC-298	SKCM	skin	melanoma	0.0234	0.161
G-MEL	SKCM	skin	melanoma	0.0249	0.169
NCI-H3118	UNCLASSIFIED	aero_digestive_tract	head_and_neck	0.0307	0.207
OCUM-1	STAD	digestive_system	stomach	0.0329	0.217
MMAc-SF	SKCM	skin	melanoma	0.0369	0.223
CP66-MEL	SKCM	skin	melanoma	0.0418	0.248
COLO-679	SKCM	skin	melanoma	0.0423	0.248
MEL-HO	SKCM	skin	melanoma	0.0444	0.242
K5	THCA	thyroid	thyroid	0.0472	0.244
OCI-AML3	LAML	blood	acute_myeloid_leukaemia	0.0502	0.238
M14	SKCM	skin	melanoma	0.0535	0.272
DU-4475	BRCA	breast	breast	0.0545	0.244
A375	SKCM	skin	melanoma	0.0546	0.245
CL-34	COREAD	digestive_system	large_intestine	0.0555	0.282
MDST8	COREAD	digestive_system	large_intestine	0.06	0.281
NCI-H292	UNCLASSIFIED	lung	lung_NSCLC_adenocarcinoma	0.0622	0.305
K2	SKCM	skin	melanoma	0.0622	0.311
DOK	HNSC	aero_digestive_tract	head_and_neck	0.0654	0.33
CP50-MEL-B	SKCM	skin	melanoma	0.0664	0.295
NB4	LAML	blood	acute_myeloid_leukaemia	0.0684	0.28
C32	SKCM	skin	melanoma	0.0687	0.307
ACN	UNCLASSIFIED	nervous_system	neuroblastoma	0.0732	0.31
KMOE-2	LAML	blood	acute_myeloid_leukaemia	0.0759	0.305
BB49-HNC	HNSC	aero_digestive_tract	head_and_neck	0.0779	0.346
NUGC-4	STAD	digestive_system	stomach	0.0793	0.322
WM35	SKCM	skin	melanoma	0.0809	0.326
KNS-62	LUSC	lung	lung_NSCLC_squamous_cell_carcinoma	0.0821	0.355
CL-11	COREAD	digestive_system	large_intestine	0.0874	0.346
SK-MEL-30	SKCM	skin	melanoma	0.0876	0.341
LB2518-MEL	SKCM	skin	melanoma	0.0893	0.343
HCC2998	COREAD	digestive_system	large_intestine	0.0911	0.34
RKN	UNCLASSIFIED	urogenital_system	ovary	0.0968	0.355
451Lu	SKCM	skin	melanoma	0.101	0.355
UACC-62	SKCM	skin	melanoma	0.102	0.359
SK-MEL-28	SKCM	skin	melanoma	0.12	0.383
UACC-257	SKCM	skin	melanoma	0.122	0.398
